County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Autauga County,Alabama,01001,5178,13489,12525,76.5,55200,54170,1030,54170,42437,10565,159,82,0,44,0,568,0,107,120,27,88,214,12,32,0,32,0,0,409,1030,340,275,257,12,55200,43367,10962,464,895,115,427,55200,1528,737,287,207,297,53672,41412,10475,159,568,5,41,1012,0,1012,23315,41304,19747,21557,55200,26874,28326,94.9,3263,4009,3570,3855,3337,7064,7374,7853,4131,2694,4711,2524,815,37.8,13369,43368,41831,39614,9403,8050,41831,20054,21777,92.1,8050,3488,4562
Baldwin County,Alabama,01003,16707,48542,40024,86.6,208107,204535,3572,204535,179526,19764,1522,285,0,70,15,1680,43,661,204,478,137,128,29,9,0,9,0,0,2034,3572,408,1548,855,62,208107,182689,20311,3185,2824,79,2648,208107,9353,5129,1451,273,2500,198754,172768,19529,1398,1668,9,410,2972,352,2620,111945,159193,76318,82875,208107,101188,106919,94.6,11609,11689,14323,12707,10790,23326,25377,28330,14440,14851,24551,12165,3949,42.8,45677,167712,162430,155502,49811,40665,162430,78104,84326,92.6,40665,18870,21795
Barbour County,Alabama,01005,3400,8009,5431,76.2,25782,25429,353,25429,12216,12266,72,26,0,9,0,96,11,0,5,0,48,13,19,1,1,0,0,0,778,353,43,73,54,81,25782,12461,12492,301,155,1,800,25782,1106,905,89,3,109,24676,11898,12199,63,85,1,86,344,13,331,11937,19991,10648,9343,25782,13697,12085,113.3,1390,1450,1677,1434,1658,3675,3104,3452,1657,1651,2820,1392,422,39.9,5436,20948,20346,19394,5658,4634,20346,10923,9423,115.9,4634,2004,2630
Bibb County,Alabama,01007,2371,6534,5827,80.5,22527,22340,187,22340,17268,5018,8,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,9,187,91,82,6,0,22527,17447,5117,90,51,0,9,22527,547,200,17,28,302,21980,16801,4974,8,37,0,0,160,0,160,9161,17672,9487,8185,22527,12152,10375,117.1,1275,1178,1289,1514,1491,3075,2895,3439,1494,1216,2122,1112,427,39.9,4659,18470,17868,16864,4323,3661,17868,9578,8290,115.5,3661,1633,2028
Blount County,Alabama,01009,6282,14227,14365,79.7,57645,56710,935,56710,55054,862,141,20,0,0,0,198,42,47,53,9,34,0,13,18,0,18,0,0,437,935,236,531,45,0,57645,55981,1124,714,292,53,479,57645,5261,4755,107,19,380,52384,50232,820,124,198,18,174,818,0,818,24222,42627,20703,21924,57645,28434,29211,97.3,3485,3632,3995,3717,3189,6786,7153,7947,3895,3613,6132,3235,866,40.8,13468,45915,44177,42232,12400,10233,44177,21595,22582,95.6,10233,4540,5693
Bullock County,Alabama,01011,2321,3662,3333,73.6,10352,10352,0,10352,2276,7893,122,44,0,0,0,56,0,33,0,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,10352,2276,7893,122,56,0,5,10352,51,19,31,0,1,10301,2228,7893,122,56,0,2,0,0,0,4526,8202,4527,3675,10352,5663,4689,120.8,596,634,540,772,706,1120,1599,1322,593,854,1011,430,175,39.6,2150,8413,8202,7709,2026,1616,8202,4527,3675,123.2,1616,685,931
Butler County,Alabama,01013,2910,6999,6027,69.1,20025,19702,323,19702,10414,9055,2,1,0,0,0,231,66,0,26,0,139,0,0,0,0,0,0,0,0,323,142,116,37,1,20025,10709,9216,128,286,0,9,20025,67,58,0,0,9,19958,10384,9027,2,231,0,0,314,0,314,10026,15360,6898,8462,20025,9368,10657,87.9,1205,1293,1274,1292,1073,2424,2401,2427,1460,1370,2081,1168,557,40.7,4566,15970,15459,14631,4603,3806,15459,6967,8492,82,3806,1555,2251
Calhoun County,Alabama,01015,14692,34366,26949,73.7,115098,112362,2736,112362,85558,23676,353,147,0,0,0,1065,137,141,100,33,274,222,158,9,0,0,9,0,1701,2736,1112,783,258,62,115098,88030,25088,1382,1581,144,1903,115098,4203,2753,695,75,680,110895,83423,23618,227,1065,9,38,2515,60,2455,53682,88401,41824,46577,115098,55315,59783,92.5,6562,6844,7158,7773,7626,15017,13845,14958,7851,8078,11489,5847,2050,39.7,25196,93023,89902,85310,23809,19386,89902,42495,47407,89.6,19386,8223,11163
Chambers County,Alabama,01017,4787,10974,7461,73.3,33826,33479,347,33479,19483,13319,97,42,9,0,0,405,43,30,24,1,297,0,10,0,0,0,0,0,175,347,236,78,33,0,33826,19830,13555,175,438,0,175,33826,768,273,210,195,90,33058,18872,13319,97,405,0,18,347,0,347,16981,26424,12388,14036,33826,16257,17569,92.5,1950,1728,2099,1960,2525,3691,3973,4648,2638,2205,3775,1932,702,43,7006,27656,26820,25589,7733,6409,26820,12684,14136,89.7,6409,2711,3698
Cherokee County,Alabama,01019,3176,7767,6136,86.7,25853,25645,208,25645,23997,1267,236,158,0,0,0,55,13,25,12,0,0,5,0,0,0,0,0,0,90,208,63,107,0,6,25853,24167,1336,377,59,32,90,25853,398,369,0,0,29,25455,23730,1267,236,42,0,0,180,0,180,16531,20492,10100,10392,25853,12820,13033,98.4,1204,1470,1520,1603,1383,2529,2917,3642,2047,1917,3426,1716,479,45.9,5286,21349,20567,19749,6708,5621,20567,10167,10400,97.8,5621,2611,3010
