Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 12-October-2020
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Autauga County,Alabama,01001,5178,3826,6787
Baldwin County,Alabama,01003,16707,14296,19518
Barbour County,Alabama,01005,3400,2316,4802
Bibb County,Alabama,01007,2371,1559,3489
Blount County,Alabama,01009,6282,4739,8180
Bullock County,Alabama,01011,2321,1307,3518
Butler County,Alabama,01013,2910,2020,3902
Calhoun County,Alabama,01015,14692,12393,17315
Chambers County,Alabama,01017,4787,3338,6439
Cherokee County,Alabama,01019,3176,2100,4390
Chilton County,Alabama,01021,6198,4777,7951
Choctaw County,Alabama,01023,1799,1299,2351
Clarke County,Alabama,01025,4538,3555,5728
Clay County,Alabama,01027,1666,989,2600
Cleburne County,Alabama,01029,1555,954,2480
Coffee County,Alabama,01031,6114,4798,7565
Colbert County,Alabama,01033,7008,5451,8892
Conecuh County,Alabama,01035,2295,1546,3351
Coosa County,Alabama,01037,2250,1413,3284
Covington County,Alabama,01039,4723,3606,5941
Crenshaw County,Alabama,01041,2057,1276,3040
Cullman County,Alabama,01043,9619,7088,12603
Dale County,Alabama,01045,5735,4543,7215
Dallas County,Alabama,01047,4950,4145,5905
Dekalb County,Alabama,01049,8286,6324,10380
Elmore County,Alabama,01051,9271,7121,11817
Escambia County,Alabama,01053,5274,3896,6988
Etowah County,Alabama,01055,13547,11338,15970
Fayette County,Alabama,01057,2470,1565,3591
Franklin County,Alabama,01059,3339,2371,4778
Geneva County,Alabama,01061,3864,2806,5211
Greene County,Alabama,01063,1373,861,1954
Hale County,Alabama,01065,1966,1416,2584
Henry County,Alabama,01067,2152,1424,3070
Houston County,Alabama,01069,12774,10685,15145
Jackson County,Alabama,01071,6361,4685,8336
Jefferson County,Alabama,01073,62591,56671,69306
Lamar County,Alabama,01075,2285,1539,3197
Lauderdale County,Alabama,01077,10425,8436,12875
Lawrence County,Alabama,01079,5561,3764,7804
Lee County,Alabama,01081,12273,9533,15252
Limestone County,Alabama,01083,9019,6452,12260
Lowndes County,Alabama,01085,1293,800,1819
Macon County,Alabama,01087,2426,1463,3597
Madison County,Alabama,01089,35716,30273,41728
Marengo County,Alabama,01091,2672,2050,3408
Marion County,Alabama,01093,4319,3032,5808
Marshall County,Alabama,01095,8112,5699,11040
Mobile County,Alabama,01097,45219,40377,50053
Monroe County,Alabama,01099,3640,2789,4664
Montgomery County,Alabama,01101,27135,23119,31178
