Obesity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 5-October-2020
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Autauga County,Alabama,01001,13489,10980,15962
Baldwin County,Alabama,01003,48542,43801,53428
Barbour County,Alabama,01005,8009,6510,9554
Bibb County,Alabama,01007,6534,5225,8011
Blount County,Alabama,01009,14227,11801,16644
Bullock County,Alabama,01011,3662,2386,4864
Butler County,Alabama,01013,6999,5723,8276
Calhoun County,Alabama,01015,34366,30909,37965
Chambers County,Alabama,01017,10974,8884,13059
Cherokee County,Alabama,01019,7767,6185,9225
Chilton County,Alabama,01021,13637,11512,15865
Choctaw County,Alabama,01023,4749,3999,5481
Clarke County,Alabama,01025,6591,5218,7872
Clay County,Alabama,01027,3847,2852,4860
Cleburne County,Alabama,01029,3801,2819,4868
Coffee County,Alabama,01031,14086,11845,16242
Colbert County,Alabama,01033,15503,13040,17989
Conecuh County,Alabama,01035,4030,3101,5002
Coosa County,Alabama,01037,3943,3057,4868
Covington County,Alabama,01039,10118,8315,11953
Crenshaw County,Alabama,01041,3670,2776,4692
Cullman County,Alabama,01043,22306,18447,26315
Dale County,Alabama,01045,15384,13196,17574
Dallas County,Alabama,01047,12105,10844,13325
Dekalb County,Alabama,01049,15838,13309,18671
Elmore County,Alabama,01051,21351,17991,25295
Escambia County,Alabama,01053,10192,8402,12141
Etowah County,Alabama,01055,28404,25237,31619
Fayette County,Alabama,01057,4740,3697,5894
Franklin County,Alabama,01059,8458,6820,10261
Geneva County,Alabama,01061,8279,6664,9784
Greene County,Alabama,01063,2393,1706,3150
Hale County,Alabama,01065,4988,4118,5815
Henry County,Alabama,01067,4636,3573,5739
Houston County,Alabama,01069,30039,26879,33342
Jackson County,Alabama,01071,14207,11238,17014
Jefferson County,Alabama,01073,170351,159038,181751
Lamar County,Alabama,01075,3595,2730,4514
Lauderdale County,Alabama,01077,23068,19689,26432
Lawrence County,Alabama,01079,8274,6137,10679
Lee County,Alabama,01081,36845,31867,41861
Limestone County,Alabama,01083,23330,18900,28161
Lowndes County,Alabama,01085,3322,2627,4033
Macon County,Alabama,01087,7368,5645,9135
Madison County,Alabama,01089,91881,82289,101595
Marengo County,Alabama,01091,6536,5611,7380
Marion County,Alabama,01093,8759,6997,10554
Marshall County,Alabama,01095,25742,21304,30329
Mobile County,Alabama,01097,115969,108405,123725
Monroe County,Alabama,01099,6959,5612,8211
Montgomery County,Alabama,01101,62053,56180,68186
Morgan County,Alabama,01103,31640,26336,37081
Perry County,Alabama,01105,3166,2563,3773
Pickens County,Alabama,01107,6089,4798,7425
Pike County,Alabama,01109,9611,7958,11398
Randolph County,Alabama,01111,5834,4457,7334
Russell County,Alabama,01113,16289,12561,20200
Shelby County,Alabama,01117,59449,52892,66361
St. Clair County,Alabama,01115,24227,20714,27754
Sumter County,Alabama,01119,4167,3361,4970
Talladega County,Alabama,01121,23805,20965,26820
Tallapoosa County,Alabama,01123,10780,9022,12500
Tuscaloosa County,Alabama,01125,55543,51375,60248
Walker County,Alabama,01127,19075,16648,21420
Washington County,Alabama,01129,3969,3026,4906
Wilcox County,Alabama,01131,3904,3184,4626
Winston County,Alabama,01133,6542,5198,8061
Aleutians East Borough,Alaska,02013,1633,1215,2038
Aleutians West Census Area,Alaska,02016,2106,1662,2560
Anchorage Municipality,Alaska,02020,64978,59408,70276
Bethel Census Area,Alaska,02050,3749,3009,4458
Bristol Bay Borough,Alaska,02060,295,217,364
Denali Borough,Alaska,02068,386,271,526
Dillingham Census Area,Alaska,02070,1002,735,1267
Fairbanks North Star Borough,Alaska,02090,22644,20711,24520
Haines Borough,Alaska,02100,590,428,772
Hoonah-Angoon Census Area,Alaska,02105,518,320,737
Juneau City and Borough,Alaska,02110,6432,5502,7423
Kenai Peninsula Borough,Alaska,02122,14498,12904,16298
Ketchikan Gateway Borough,Alaska,02130,4064,3466,4696
Kodiak Island Borough,Alaska,02150,2737,2196,3300
Kusilvak Census Area,Alaska,02158,1058,677,1516
Lake and Peninsula Borough,Alaska,02164,418,302,544
Matanuska-Susitna Borough,Alaska,02170,25963,23790,28170
Nome Census Area,Alaska,02180,2511,2031,2968
North Slope Borough,Alaska,02185,3104,2504,3723
Northwest Arctic Borough,Alaska,02188,2160,1696,2612
Petersburg Census Area,Alaska,02195,632,401,923
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Prince of Wales-Hyder Censu,Alaska,02198,1940,1442,2503
Sitka City and Borough,Alaska,02220,1694,1228,2238
Skagway Municipality,Alaska,02230,253,158,355
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Southeast Fairbanks Census Area,Alaska,02240,1631,1380,1898
Valdez-Cordova Census Area,Alaska,02261,2334,1920,2773
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,710,501,923
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Yakutat City and Borough,Alaska,02282,181,94,279
Yukon-Koyukuk Census Area,Alaska,02290,1154,949,1370
Apache County,Arizona,04001,17630,16257,19083
Cochise County,Arizona,04003,29138,26392,32199
Coconino County,Arizona,04005,25269,22672,27920
Gila County,Arizona,04007,13005,11943,14144
Graham County,Arizona,04009,8859,7385,10647
Greenlee County,Arizona,04011,1998,1419,2567
La Paz County,Arizona,04012,5586,4276,7046
Maricopa County,Arizona,04013,858162,831131,887533
Mohave County,Arizona,04015,51267,46645,56212
Navajo County,Arizona,04017,25605,23609,27685
Pima County,Arizona,04019,197976,186607,209625
Pinal County,Arizona,04021,110613,103045,118117
Santa Cruz County,Arizona,04023,9804,7491,12536
Yavapai County,Arizona,04025,45143,41064,49261
Yuma County,Arizona,04027,57081,50153,63791
Arkansas County,Arkansas,05001,4704,3703,5811
Ashley County,Arkansas,05003,6367,5173,7576
Baxter County,Arkansas,05005,10387,8846,12069
Benton County,Arkansas,05007,58866,52740,65743
Boone County,Arkansas,05009,8219,6545,10059
Bradley County,Arkansas,05011,2508,1615,3485
Calhoun County,Arkansas,05013,1063,700,1495
Carroll County,Arkansas,05015,6269,4756,7985
Chicot County,Arkansas,05017,3257,2601,3949
Clark County,Arkansas,05019,4328,3162,5781
Clay County,Arkansas,05021,4238,3220,5258
Cleburne County,Arkansas,05023,6659,5179,8254
Cleveland County,Arkansas,05025,2369,1841,2981
Columbia County,Arkansas,05027,7527,6051,8948
Conway County,Arkansas,05029,6265,5028,7531
Craighead County,Arkansas,05031,30242,26461,34552
Crawford County,Arkansas,05033,17891,14729,21073
Crittenden County,Arkansas,05035,12668,10733,14705
Cross County,Arkansas,05037,5240,4149,6359
Dallas County,Arkansas,05039,2238,1671,2937
Desha County,Arkansas,05041,4009,3235,4789
Drew County,Arkansas,05043,4770,3576,5892
Faulkner County,Arkansas,05045,33061,28584,37760
Franklin County,Arkansas,05047,5598,4364,6779
Fulton County,Arkansas,05049,3026,2306,3787
Garland County,Arkansas,05051,22033,18523,25808
Grant County,Arkansas,05053,4684,3599,5930
Greene County,Arkansas,05055,12509,9948,15049
Hempstead County,Arkansas,05057,4963,3718,6429
Hot Spring County,Arkansas,05059,9050,7274,10835
Howard County,Arkansas,05061,4078,3213,4959
Independence County,Arkansas,05063,8148,6267,10098
Izard County,Arkansas,05065,3522,2644,4492
Jackson County,Arkansas,05067,5188,3658,6804
Jefferson County,Arkansas,05069,21924,19513,24650
Johnson County,Arkansas,05071,7715,6244,9254
Lafayette County,Arkansas,05073,2516,1861,3192
Lawrence County,Arkansas,05075,4734,3636,5977
Lee County,Arkansas,05077,2956,2337,3695
Lincoln County,Arkansas,05079,4838,3537,6073
Little River County,Arkansas,05081,3159,2307,4075
Logan County,Arkansas,05083,4920,3618,6390
Lonoke County,Arkansas,05085,21405,17819,24936
Madison County,Arkansas,05087,3756,2857,4715
Marion County,Arkansas,05089,3585,2713,4526
Miller County,Arkansas,05091,12705,10665,14884
Mississippi County,Arkansas,05093,12850,11041,14800
Monroe County,Arkansas,05095,2351,1535,3160
Montgomery County,Arkansas,05097,1677,1006,2405
Nevada County,Arkansas,05099,2718,1957,3524
Newton County,Arkansas,05101,2436,1896,3048
Ouachita County,Arkansas,05103,7331,6124,8536
Perry County,Arkansas,05105,2827,2089,3646
Phillips County,Arkansas,05107,5967,5093,6849
Pike County,Arkansas,05109,2345,1749,3075
Poinsett County,Arkansas,05111,7353,5922,8973
Polk County,Arkansas,05113,5416,4302,6536
Pope County,Arkansas,05115,16124,13793,18590
Prairie County,Arkansas,05117,2311,1613,3058
Pulaski County,Arkansas,05119,99469,91935,106674
Randolph County,Arkansas,05121,4364,3268,5465
Saline County,Arkansas,05125,26864,22964,31047
Scott County,Arkansas,05127,2933,2087,3775
Searcy County,Arkansas,05129,1551,1053,2053
Sebastian County,Arkansas,05131,32595,28705,36788
Sevier County,Arkansas,05133,3845,3000,4730
Sharp County,Arkansas,05135,5401,4248,6512
St. Francis County,Arkansas,05123,9542,8093,10970
Stone County,Arkansas,05137,3979,3213,4820
Union County,Arkansas,05139,10172,8334,12051
Van Buren County,Arkansas,05141,4751,3838,5680
Washington County,Arkansas,05143,52992,47567,58831
White County,Arkansas,05145,18936,15895,22518
Woodruff County,Arkansas,05147,1680,999,2390
Yell County,Arkansas,05149,5778,4464,7022
Alameda County,California,06001,283426,254121,312504
Alpine County,California,06003,148,66,255
Amador County,California,06005,9640,6982,12605
Butte County,California,06007,53076,43621,62396
Calaveras County,California,06009,10492,7317,14006
Colusa County,California,06011,5880,4270,7665
Contra Costa County,California,06013,215005,190411,240433
Del Norte County,California,06015,7111,4754,9600
El Dorado County,California,06017,37668,30258,45407
Fresno County,California,06019,223921,197124,252064
Glenn County,California,06021,6774,4847,8813
Humboldt County,California,06023,26347,20944,32114
Imperial County,California,06025,40901,30563,52872
