Physical Inactivity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 5-October-2020
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Autauga County,Alabama,01001,12525,10395,14928
Baldwin County,Alabama,01003,40024,35987,44871
Barbour County,Alabama,01005,5431,4281,6882
Bibb County,Alabama,01007,5827,4484,7144
Blount County,Alabama,01009,14365,11856,16892
Bullock County,Alabama,01011,3333,2272,4423
Butler County,Alabama,01013,6027,4834,7371
Calhoun County,Alabama,01015,26949,23937,30250
Chambers County,Alabama,01017,7461,5777,9279
Cherokee County,Alabama,01019,6136,4772,7653
Chilton County,Alabama,01021,10841,8887,12905
Choctaw County,Alabama,01023,3391,2812,4061
Clarke County,Alabama,01025,7406,6233,8567
Clay County,Alabama,01027,3482,2628,4394
Cleburne County,Alabama,01029,2912,2064,3845
Coffee County,Alabama,01031,12128,10173,14228
Colbert County,Alabama,01033,14654,12406,17053
Conecuh County,Alabama,01035,4083,3143,5071
Coosa County,Alabama,01037,3149,2352,4063
Covington County,Alabama,01039,10318,8616,11893
Crenshaw County,Alabama,01041,3569,2679,4537
Cullman County,Alabama,01043,21320,17734,25428
Dale County,Alabama,01045,11658,9837,13562
Dallas County,Alabama,01047,9429,8276,10572
Dekalb County,Alabama,01049,17154,14439,19766
Elmore County,Alabama,01051,15048,12347,17883
Escambia County,Alabama,01053,9351,7738,11082
Etowah County,Alabama,01055,26308,23182,29549
Fayette County,Alabama,01057,3782,2888,4815
Franklin County,Alabama,01059,8525,6801,10298
Geneva County,Alabama,01061,8174,6741,9589
Greene County,Alabama,01063,1494,961,2231
Hale County,Alabama,01065,3500,2780,4232
Henry County,Alabama,01067,3833,2868,4863
Houston County,Alabama,01069,25256,22214,28577
Jackson County,Alabama,01071,13502,10944,16552
Jefferson County,Alabama,01073,143193,133639,153505
Lamar County,Alabama,01075,3291,2524,4166
Lauderdale County,Alabama,01077,19242,16176,22305
Lawrence County,Alabama,01079,7616,5536,9983
Lee County,Alabama,01081,23837,19888,28122
Limestone County,Alabama,01083,18678,14685,22925
Lowndes County,Alabama,01085,2482,1888,3097
Macon County,Alabama,01087,4704,3320,6263
Madison County,Alabama,01089,66221,58763,74845
Marengo County,Alabama,01091,4786,4040,5611
Marion County,Alabama,01093,7491,5983,9071
Marshall County,Alabama,01095,25832,21786,30022
Mobile County,Alabama,01097,88099,81738,94910
Monroe County,Alabama,01099,5797,4579,6981
Montgomery County,Alabama,01101,48749,43386,54288
Morgan County,Alabama,01103,23954,19534,28825
Perry County,Alabama,01105,2425,1784,3075
Pickens County,Alabama,01107,4125,3040,5371
Pike County,Alabama,01109,7071,5405,8786
Randolph County,Alabama,01111,5792,4194,7365
Russell County,Alabama,01113,13572,10173,17140
Shelby County,Alabama,01117,37617,32264,43428
St. Clair County,Alabama,01115,19824,16652,23037
Sumter County,Alabama,01119,3195,2544,3913
Talladega County,Alabama,01121,22392,19572,25304
Tallapoosa County,Alabama,01123,8380,6744,9960
Tuscaloosa County,Alabama,01125,42278,38303,46144
Walker County,Alabama,01127,15472,13180,17549
Washington County,Alabama,01129,4168,3186,5134
Wilcox County,Alabama,01131,2709,2058,3387
Winston County,Alabama,01133,6543,5020,7965
Aleutians East Borough,Alaska,02013,837,536,1182
Aleutians West Census Area,Alaska,02016,1340,982,1740
Anchorage Municipality,Alaska,02020,36260,32477,40467
Bethel Census Area,Alaska,02050,3048,2458,3698
Bristol Bay Borough,Alaska,02060,191,130,253
Denali Borough,Alaska,02068,347,241,472
Dillingham Census Area,Alaska,02070,828,599,1081
Fairbanks North Star Borough,Alaska,02090,13255,11790,14916
Haines Borough,Alaska,02100,394,264,553
Hoonah-Angoon Census Area,Alaska,02105,282,186,419
