Inspection_ID,Inspection_Date,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Type,Latitude,Longitude,Location,Facility_Type_Clean,criticalCount,seriousCount,minorCount,pass_flag,fail_flag,pastFail,pastCritical,pastSerious,pastMinor,timeSinceLast,firstRecord,ID,LICENSE_ID,ACCOUNT_NUMBER,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP_CODE,WARD,PRECINCT,WARD_PRECINCT,POLICE_DISTRICT,LICENSE_CODE,LICENSE_DESCRIPTION,BUSINESS_ACTIVITY_ID,BUSINESS_ACTIVITY,LICENSE_NUMBER,APPLICATION_TYPE,LICENSE_TERM_START_DATE,LICENSE_TERM_EXPIRATION_DATE,LICENSE_STATUS,LATITUDE,LONGITUDE,minDate,maxDate,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,package_goods,outdoor_patio,public_place_of_amusement,limited_business_license,childrens_services_facility_license,tavern,regulated_business_license,filling_station,caterers_liquor_license,mobile_food_license,precipIntensity,temperatureMax,windSpeed,humidity,heat_burglary,heat_garbage,heat_sanitation,criticalFound
920444,2014-01-15,GALLISTEL LANGUAGE ACADEMY,GALLISTEL LANGUAGE ACADEMY,2046708,School,Risk 1 (High),10200 S AVENUE J ,CHICAGO,IL,60617,Canvass,41.70995714781606,-87.5342225149751,"(41.70995714781606, -87.5342225149751)",Other,0,1,5,0,1,0,0,0,2,0.9643835616438357,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,41.669999999999995,13.533333333333333,0.7266666666666666,2.149376242825236,7.70533179099275,9.53584764718666,0
920445,2014-02-03,SUBWAY,SUBWAY,2183563,Restaurant,Risk 1 (High),4025 E 106TH ST ,CHICAGO,IL,60617,Canvass,41.70257660937248,-87.52587169711877,"(41.70257660937248, -87.52587169711877)",Restaurant,2,0,0,0,0,0,0,0,0,0.7945205479452054,0,2183563-20120829,2183563,375027,AMI SUB INC.,SUBWAY,4025 E 106TH ST 1,CHICAGO,IL,60617,10,38,10-38,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2183563,ISSUE,2012-08-29,2014-09-15,AAI,41.702576609,-87.525871697,2012-08-29,2018-09-15,1.4328767123287671,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,28.16,6.02,0.7466666666666667,12.034832963198175,7.19431971172935,1.2192221143301452,1
920446,2014-02-03,SHARKS FISH & CHICKEN,SHARKS FISH & CHICKEN,1477112,Restaurant,Risk 2 (Medium),2027 E 95TH ST ,CHICAGO,IL,60617,Canvass,41.72237211196818,-87.57427469548966,"(41.72237211196818, -87.57427469548966)",Restaurant,0,0,6,1,0,0,0,0,2,0.6602739726027397,0,1477112-20120716,2155150,273266,"A & K SHARKS, INC.",SHARKS FISH & CHICKEN,2027 E 95TH ST,CHICAGO,IL,60617,7,49,7-49,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1477112,RENEW,2012-07-16,2014-07-15,AAI,41.722372112,-87.574274695,2004-03-02,2018-07-15,9.931506849315069,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,28.16,6.02,0.7466666666666667,26.29272467705013,27.837325121138143,12.401466419216367,0
920448,2014-03-07,P K PETRO INC.,MARATHON,1331469,Grocery Store,Risk 3 (Low),7001 S STONY ISLAND AVE ,CHICAGO,IL,60649,Canvass,41.76779762303839,-87.58581991823232,"(41.76779762303839, -87.58581991823232)",Other,0,1,7,0,1,0,0,0,0,2,1,1331469-20121216,2194284,257899,P K PETRO INC.,Stony Shell,7001 S STONY ISLAND AVE,CHICAGO,IL,60649,5,21,5-21,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1331469,RENEW,2012-12-16,2014-12-15,AAI,41.767797623,-87.585819918,2003-03-05,2018-12-15,11.013698630136986,0,1,0,0,0,0,0,0,0,1,0,0,4.333333333333333e-4,25.299999999999997,7.653333333333333,0.6366666666666667,49.46894358112221,11.282325461671508,66.4670276254267,0
920449,2014-03-07,"Z T DOLLAR EXCHANGE,INC",DOLLAR STORE,2189299,Grocery Store,Risk 3 (Low),2429 E 72ND ST ,CHICAGO,IL,60649,Canvass,41.764339216775696,-87.5653706801239,"(41.764339216775696, -87.5653706801239)",Other,1,2,5,0,1,0,0,0,0,2,1,2189299-20121009,2189299,249904,"ZT DOLLAR EXCHANGE, INC.","Z T DOLLAR EXCHANGE, INC.",2429 E 72ND ST,CHICAGO,IL,60649,7,40,7-40,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2189299,ISSUE,2012-10-09,2014-12-15,AAI,41.764339217,-87.56537068,2012-10-09,2018-12-15,1.4082191780821918,0,1,0,0,0,1,0,0,0,0,0,0,4.333333333333333e-4,25.299999999999997,7.653333333333333,0.6366666666666667,69.9398327544141,26.695700722575488,76.82711945638017,1
920450,2014-03-07,KENNEDY FISH & CHICKEN,KENNEDY FISH & CHICKEN,2065097,Restaurant,Risk 1 (High),2425 E 72ND ST ,CHICAGO,IL,60649,Canvass,41.76433649022248,-87.56555948755981,"(41.76433649022248, -87.56555948755981)",Restaurant,0,1,7,0,1,0,0,0,3,0.9643835616438357,0,2065097-20121216,2195559,357795,AYAAN CHICAGO INC.,KENNEDY FISH & CHICKEN,2425 E 72ND ST 1ST,CHICAGO,IL,60649,7,40,7-40,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2065097,RENEW,2012-12-16,2014-12-15,AAI,41.76433649,-87.565559488,2010-11-17,2018-12-15,3.304109589041096,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333333333e-4,25.299999999999997,7.653333333333333,0.6366666666666667,69.66206555731024,27.638310961841917,78.17567731889403,0
920453,2014-04-02,John L. Marsh Elementary,John L. Marsh Elementary,1878507,School,Risk 1 (High),9822 S Exchange AVE ,CHICAGO,IL,60617,Canvass,41.71657907873615,-87.5525199301892,"(41.71657907873615, -87.5525199301892)",Other,0,0,4,1,0,0,0,0,2,0.9452054794520548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,57.45333333333334,12.513333333333335,0.5099999999999999,7.192252638478995,9.551933256906132,6.093816404326658,0
920471,2014-09-11,THE UNIT,THE UNIT,2021618,Grocery Store,Risk 2 (Medium),2523 E 75TH ST ,CHICAGO,IL,60649,Canvass,41.75892231743733,-87.56287603913708,"(41.75892231743733, -87.56287603913708)",Other,0,1,8,0,1,0,0,0,0,2,1,2021618-20121216,2195418,351168,"The Unit, Inc.",The Unit,2523 E 75TH ST 1,CHICAGO,IL,60649,7,39,7-39,4,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2021618,RENEW,2012-12-16,2014-12-15,AAI,41.758922317,-87.562876039,2010-03-19,2018-12-15,4.484931506849315,0,0,0,0,0,0,0,0,0,0,0,0,0.010066666666666666,77.94666666666667,8.373333333333333,0.6933333333333334,105.57200939430273,18.826365636433735,44.39893445783465,0
920476,2014-10-08,SOUTH SHORE INTERNATIONAL COLLEGE PREP,SOUTH SHORE INTERNATIONAL COLLEGE PREP,2421640,School,Risk 1 (High),1955 E 75TH ST ,CHICAGO,IL,60649,Canvass,41.75876402928878,-87.57636891250742,"(41.75876402928878, -87.57636891250742)",Other,0,1,6,0,1,1,0,1,2,0.9452054794520548,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666666e-4,60.29333333333333,10.413333333333332,0.6233333333333334,18.011227396010867,26.36779467833617,27.836680216026856,0
920477,2014-10-24,SOUTH CHICAGO YMCA,SOUTH CHICAGO SENIOR CENTER,2046670,Golden Diner,Risk 1 (High),3039 E 91ST ST FL ,CHICAGO,IL,60617,Canvass,41.72998212286057,-87.54971598010755,"(41.72998212286057, -87.54971598010755)",Other,0,0,4,1,0,0,0,0,2,1.389041095890411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,3e-4,54.370000000000005,8.136666666666665,0.7600000000000001,61.23955690274797,7.636593394639426,5.8062049106997,0
