yearel,myoutcomenext,difshare
1946,0,.0614882
1946,0,-.0614882
1948,1,.1048695
1948,0,-.1048695
1948,0,-.535721
1950,0,.1644641
1950,0,-.1644641
1950,0,-.578422
1952,1,.0793608
1952,0,-.0793608
1954,0,.1392521
1954,0,-.1392521
1956,0,.0736019
1956,0,-.0736019
1956,0,-.5303795
1958,1,.0868215
1958,0,-.0868215
1960,1,.1691602
1960,0,-.1691602
1962,1,.1555924
1962,0,-.1555924
1962,0,-.5689324
1964,1,.3993583
1964,0,-.3993583
1966,1,.1680772
1966,0,-.1680772
1966,0,-.572782
1968,0,.2515626
1968,0,-.2515626
1968,0,-.6214946
1970,1,.0064238
1970,0,-.0064238
1970,0,-.4554552
1972,1,.1502741
1972,0,-.1502741
1972,0,-.5569934
1974,1,.2675027
1974,0,-.2675027
1974,0,-.6125554
1976,1,.1527547
1976,0,-.1527547
1976,0,-.5650717
1976,0,-.5660316
1978,1,.2023913
1978,0,-.2023913
1978,0,-.5841128
1980,0,.2608236
1980,0,-.2608236
1982,1,.3692601
1982,0,-.3692601
1982,0,-.6746601
1984,1,.2378197
1984,0,-.2378197
1984,0,-.6139529
1986,1,.4879997
1986,0,-.4879997
1986,0,-.7376559
1988,1,.5448855
1988,0,-.5448855
1990,1,.4280589
1990,0,-.4280589
1992,1,.3651706
1992,0,-.3651706
1992,0,-.6484995
1994,1,.4858052
1994,0,-.4858052
1994,0,-.7158655
1996,0,.4859995
1996,0,-.4859995
1996,0,-.7256944
1996,0,-.7301102
1946,0,.1058371
1946,1,-.1058371
1948,0,.0329448
1948,0,-.0329448
1950,0,.0164412
1950,0,-.0164412
1952,1,.1097101
1952,0,-.1097101
1954,1,.01378
1954,0,-.01378
1956,0,.1809827
1956,0,-.1809827
1958,0,.065782
1958,1,-.065782
1960,0,.0024322
1960,1,-.0024322
1962,0,.016045
1962,0,-.016045
1964,0,.2653162
1964,0,-.2653162
1966,0,.1300805
1966,0,-.1300805
1966,0,-.5562721
1968,0,.0870581
1968,0,-.0870581
1968,0,-.5345433
1970,1,.0651264
1970,0,-.0651264
1972,0,.3187746
1972,0,-.3187746
1974,1,.1981237
1974,0,-.1981237
1974,0,-.5725783
