Dvote,year,state,evotes,constant,n1,n2,n3,n4,s1,s2,s3,s4,s5,s6,s7,s8,s9,r1,r2,r3,r4,r5,r6
0.46233426,1992,1,9,1,0.575,-0.37,-0.37,-0.345,-0.058,-0.021,0,0,0.2809524,-0.60858452,-0.5169,-0.110198911,0,1,0,0,0,0,0
0.436793627,1992,2,3,1,0.575,-0.37,-0.37,-0.345,-0.084,-0.099,0,0,0.075,-0.60858452,0.2181,-0.17,0,0,0,0,0,0,0
0.489229663,1992,3,8,1,0.575,-0.37,-0.37,-0.345,-0.068,-0.079,0,0,-0.05,0.69141548,-0.3627,-0.17,0,0,0,0,0,0,0
0.59888739,1992,4,6,1,0.575,-0.37,-0.37,-0.345,-0.033,-0.02,1,0,0.3888889,-1.40858452,-0.2121,-0.050334758,0,1,0,0,0,0,0
0.590312336,1992,5,54,1,0.575,-0.37,-0.37,-0.345,0.021,0.043,0,0,0.08974359,0.99141548,0.1496,0.109646346,0,0,0,0,0,0,0
0.528929913,1992,6,8,1,0.575,-0.37,-0.37,-0.345,-0.001,-0.052,0,0,-0.1,-1.50858452,-0.0206,-0.01116556,0,0,0,0,0,0,0
0.541597734,1992,7,8,1,0.575,-0.37,-0.37,-0.345,0.013,-0.018,0,0,0.08278146,1.99141548,0.4493,0.059624753,0,0,0,0,0,0,0
0.55157092,1992,8,3,1,0.575,-0.37,-0.37,-0.345,-0.023,-0.008,0,0,-0.0853659,2.49141548,-0.186,-0.013514049,0,0,0,0,0,0,0
0.489747582,1992,9,25,1,0.575,-0.37,-0.37,-0.345,-0.074,-0.061,0,0,0.1166667,0.69141548,-0.3438,-0.17,0,1,0,0,0,0,0
0.504029928,1992,10,13,1,0.575,-0.37,-0.37,-0.345,-0.063,-0.01,0,0,0.3055556,-0.30858452,-0.4633,-0.108569125,0,1,0,0,0,0,0
0.567332545,1992,11,4,1,0.575,-0.37,-0.37,-0.345,0.087,0.035,0,0,0.3823529,-0.60858452,0.5367,0.17,0,0,0,0,0,0,0
