,Product_binary
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,0
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,0
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,1
527,0
528,1
529,0
530,0
531,0
